Marca temporal,"El siguiente cuestionario hace parte de una tesis de maestría cuyo objetivo es indagar sobre las dinámicas de violencias basadas en género (VBG) en la Universidad de Antioquia. Su participación es completamente voluntaria y confidencial; puede retirarse en cualquier momento si así lo desea. Los datos serán anónimos y utilizados únicamente con fines académicos. Al continuar con esta encuesta, usted acepta participar de manera voluntaria y comprendiendo que puede omitir cualquier pregunta que le cause incomodidad. Si tiene preguntas, puede contactarme al correo Natalia.loperao@udea.edu.co. 
¿Desea continuar con el cuestionario? ",Pregrado,Semestre,Edad,Género,¿Ha sido víctima de alguno de los siguientes hechos al interior de la facultad? Seleccione una o varias opciones.  ,¿Ha tenido conocimiento de la ocurrencia de alguno de los siguientes hechos al interior de la facultad? Seleccione una o varias opciones,El último hecho del que tuvo conocimiento o ha sido víctima ocurrió,"De los siguientes hechos, seleccione los que considera que tiene mayor ocurrencia en la facultad. (Elija solo dos opciones)","Desde su perspectiva, ¿de cuáles actores suelen provenir en mayor medida los hechos de violencia de género? Seleccione máximo dos opciones. ","Desde su perspectiva, ¿en qué espacios suelen ocurrir con mayor frecuencia los hechos de violencia de género? Seleccione 3 opciones máximo",¿Qué iniciativas institucionales para la sensibilización de la violencia de género cconoce ? (Puede elegir multiples opciones),De las siguientes iniciativas ¿a cuántas ha asistido? (Puede elegir multiples opciones),"¿conoce la Ruta Violeta? (Marque una opción del 1 al 5, siendo 1 que no conoce nada y 5 que conoce mucho)","Si fueras víctima de violencia de género, ¿a qué dependencia recurriría para hacer la denuncia? (Puede elegir varias opciones). ","De los siguientes mecanismos de denuncia no institucional, ¿en cuáles ha participado? (Puede elegir varias opciones)","En caso de que usted fuera víctima de violencia de género ¿considera que puede recurrir a la Universidad en busca de ayuda, aunque el hecho se haya producido por fuera de ella?",¿Considera la Universidad un entorno seguro? ,  ¿Cómo calificaría los mecanismos institucionales para la atención de casos de violencia de género?  , ¿Cómo calificaría las posturas y estrategias del personal administrativo frente a las violencias basadas en género?  , ¿Cómo calificaría las posturas y estrategias de los docentes frente a las violencias basadas en género?  ,En términos generales ¿Cómo describiría al personal administrativo de la facultad?  ,En términos generales ¿Cómo describiría a los docentes de la facultad?  ,"¿Considera que el trato recibido por parte de los administrativos de la facultad fomenta la confianza, propiciando ambientes idóneos para las denuncias de violencias basadas en género?","¿Considera que el trato recibido por parte de los docentes de la facultad fomenta la confianza, propiciando ambientes idóneos para las denuncias de violencias basadas en género?","De los siguientes aspectos, seleccione los que considera más prioritarios para mejora la atención de los casos de violencia de género. Seleccione máximo 3 opciones  ","  Si considera que hay otro aspecto administrativo que la universidad deba mejorar para que la atención de los casos de violencia de género sea efectiva, porfavor mencionelos aquí.   "
12/9/2024 16:12:07,Sí,Psicología ,9,23,Femenino,"Comentarios sexistas en espacios de interacción social o esparcimiento, Comentarios sexistas en el ámbito académico (durante clase, asesorías, proyectos de investigación, etc)","Acoso Sexual (Acoso físico, verbal, visual), Comentarios sexistas en espacios de interacción social o esparcimiento, Comentarios sexistas en el ámbito académico (durante clase, asesorías, proyectos de investigación, etc), Exclusión o discriminación en actividades académicas y/o laborales ligadas a la facultad",En el último año,"Comentarios sexistas en espacios de interacción social o esparcimiento, Comentarios sexuales en el ámbito académico (durante clase, asesorías, proyectos de investigación, etc)","Estudiantes, Administrativos","Pasillos, Espacios de interacción social (plazoleta, jardineras, etc)","Conversatorios e iniciativas culturales y artísticas, Campañas de sensibilización",Conversatorios e iniciativas culturales y artísticas,3,"Bienestar Universitario, Líneas de atención telefónica o vía email",Ninguno,No,Sí,Parcialmente efectivos,No sabe/No responde,Flexibles,"Colaborativo, proactivo","Colaborativo, proactivo",No sabe/No responde,Sí,"Aumental la confianza de los estudiantes en los mecanismos institucionales, Diseño de protocolos y rutas de atención más claras y amigables para los/las estudiantes, Mayor difusión de los protocolos y rutas de atención",
12/9/2024 16:20:50,Sí,Psicologia,1,18,Femenino,"Acoso Sexual (Acoso físico, verbal, visual)","Acoso Sexual (Acoso físico, verbal, visual), Difusión de contenido sexual no consentido, Comentarios sexistas en espacios de interacción social o esparcimiento",En los últimos 3 meses,"Acoso Sexual (acoso físico, verbal, visual)",Estudiantes,"Alrededores de la Universidad, Espacios de interacción social (plazoleta, jardineras, etc)","Cátedra del cuidado de sí (Nataly Palacios), Cursos y seminarios, Campañas de sensibilización","No género violencia, Campañas de sensibilización",3,Bienestar Universitario,Protestas,No,No,No sabe/No responde,No sabe/No responde,Flexibles,Autoritario,Inoperante,No sabe/No responde,Sí,"Aumental la confianza de los estudiantes en los mecanismos institucionales, Diseño de protocolos y rutas de atención más claras y amigables para los/las estudiantes, Personal más empático y capacitado para atender a las víctimas",
12/9/2024 16:21:29,Sí,Sociologia,1,20,Masculino,Nignuno,"Comentarios sexistas en el ámbito académico (durante clase, asesorías, proyectos de investigación, etc), Exclusión o discriminación en actividades académicas y/o laborales ligadas a la facultad",En los últimos 3 meses,"Acoso Sexual (acoso físico, verbal, visual)","Docentes, Actores externos al rededor de la universidad",Alrededores de la Universidad,"Conversatorios e iniciativas culturales y artísticas, Campañas de sensibilización",Ninguna,1,"Bienestar Universitario, Unidad de asuntos disciplinarios (UAD), Centro de atención en género y diversidad sexual, Jefaturas, Decanatura",Protestas,Sí,No,No sabe/No responde,No sabe/No responde,Flexibles,Inoperante,"Colaborativo, proactivo",No,Sí,"Mayor inclusión de los/las estudiantes en el diseño de los protocolos y rutas de atención, Aumental la confianza de los estudiantes en los mecanismos institucionales, Diseño de protocolos y rutas de atención más claras y amigables para los/las estudiantes, Mayor difusión de los protocolos y rutas de atención, Personal más empático y capacitado para atender a las víctimas",
12/9/2024 17:08:19,Sí,Antropología,Primero,18,Femenino,Nignuno,"Comentarios sexistas en espacios de interacción social o esparcimiento, Comentarios sexistas en el ámbito académico (durante clase, asesorías, proyectos de investigación, etc)",En los últimos 6 meses,Exclusión o discriminación en actividades académicas y/o laborales ligadas a la facultad,Estudiantes,"Alrededores de la Universidad, Pasillos, Espacios de interacción social (plazoleta, jardineras, etc)","No género violencia, Conversatorios e iniciativas culturales y artísticas, Campañas de sensibilización","No género violencia, Campañas de sensibilización",3,"Bienestar Universitario, Centro de atención en género y diversidad sexual",Ninguno,Sí,Sí,Parcialmente efectivos,No sabe/No responde,Flexibles,"Colaborativo, proactivo","Colaborativo, proactivo",No sabe/No responde,No,"Aumental la confianza de los estudiantes en los mecanismos institucionales, Diseño de protocolos y rutas de atención más claras y amigables para los/las estudiantes, Personal más empático y capacitado para atender a las víctimas",
12/9/2024 17:24:25,Sí,Trabajo social,7,21,Femenino,Comentarios sexistas en espacios de interacción social o esparcimiento,"Acoso Sexual (Acoso físico, verbal, visual), Comentarios sexistas en espacios de interacción social o esparcimiento, Comentarios sexistas en el ámbito académico (durante clase, asesorías, proyectos de investigación, etc)",En los últimos 3 meses,"Acoso Sexual (acoso físico, verbal, visual), Comentarios sexuales en el ámbito académico (durante clase, asesorías, proyectos de investigación, etc)",Actores externos al rededor de la universidad,"Prácticas y/o salidas de campo, Pasillos, Baños","Conversatorios e iniciativas culturales y artísticas, Cursos y seminarios, Campañas de sensibilización","Conversatorios e iniciativas culturales y artísticas, Cursos y seminarios",4,Colectivos feministas de la facultad,"Protestas, Divulgación en medios independientes como revistas",No,No,No efectivos,Conservadoras,Flexibles,Inoperante,"Colaborativo, proactivo",No,Sí,"Diseño de protocolos y rutas de atención más claras y amigables para los/las estudiantes, Mayor difusión de los protocolos y rutas de atención",
12/9/2024 17:27:48,Sí,Antropología ,Segundo ,20,Masculino,Nignuno,"Acoso Sexual (Acoso físico, verbal, visual), Comentarios sexistas en espacios de interacción social o esparcimiento",En los últimos 3 meses,Comentarios sexistas en espacios de interacción social o esparcimiento,Estudiantes,Pasillos,Campañas de sensibilización,Ninguna,3,Bienestar Universitario,"Protestas, Escrache",Sí,Sí,Parcialmente efectivos,Conservadoras,Flexibles,No sabe/No responde,Innovador,No sabe/No responde,Sí,"Aumental la confianza de los estudiantes en los mecanismos institucionales, Diseño de protocolos y rutas de atención más claras y amigables para los/las estudiantes, Personal más empático y capacitado para atender a las víctimas",
12/9/2024 18:02:13,Sí,psicología,segundo,18,Masculino,Nignuno,"Acoso Sexual (Acoso físico, verbal, visual), Difusión de contenido sexual no consentido, Comentarios sexistas en espacios de interacción social o esparcimiento",En los últimos 3 meses,"Difusión de contenido sexual no consentido, Comentarios sexistas en espacios de interacción social o esparcimiento","Docentes, Compañero sexual o afectivo que también es estudiante","Alrededores de la Universidad, Prácticas y/o salidas de campo, Espacios de interacción social (plazoleta, jardineras, etc)","Conversatorios e iniciativas culturales y artísticas, Campañas de sensibilización",Campañas de sensibilización,2,"Bienestar Universitario, Líneas de atención telefónica o vía email",Escrache,No,Sí,No efectivos,Flexibles,Flexibles,No sabe/No responde,"Colaborativo, proactivo",No,Sí,"Mayor inclusión de los/las estudiantes en el diseño de los protocolos y rutas de atención, Diseño de protocolos y rutas de atención más claras y amigables para los/las estudiantes, Mayor difusión de los protocolos y rutas de atención",
12/9/2024 18:05:33,Sí,Historia ,Dos,18,No binario ,"Acoso Sexual (Acoso físico, verbal, visual), Comentarios sexistas en el ámbito académico (durante clase, asesorías, proyectos de investigación, etc)","Violación sexual, Acoso Sexual (Acoso físico, verbal, visual), Comentarios sexistas en espacios de interacción social o esparcimiento, Comentarios sexistas en el ámbito académico (durante clase, asesorías, proyectos de investigación, etc)",En los últimos 6 meses,"Acoso Sexual (acoso físico, verbal, visual), Comentarios sexistas en espacios de interacción social o esparcimiento, Comentarios sexuales en el ámbito académico (durante clase, asesorías, proyectos de investigación, etc)","Estudiantes, Actores externos al rededor de la universidad","Pasillos, Espacios de interacción social (plazoleta, jardineras, etc)","Conversatorios e iniciativas culturales y artísticas, Cursos y seminarios, Campañas de sensibilización","Conversatorios e iniciativas culturales y artísticas, Campañas de sensibilización",3,"Bienestar Universitario, Líneas de atención telefónica o vía email",Ninguno,No,No,Parcialmente efectivos,No sabe/No responde,Flexibles,No sabe/No responde,"Colaborativo, proactivo",Sí,Sí,"Diseño de protocolos y rutas de atención más claras y amigables para los/las estudiantes, Mayor difusión de los protocolos y rutas de atención, Personal más empático y capacitado para atender a las víctimas",
12/9/2024 18:10:03,Sí,trabajo social,1,17,Femenino,Nignuno,"Violación sexual, Acoso Sexual (Acoso físico, verbal, visual)",No aplica,"Acoso Sexual (acoso físico, verbal, visual), Comentarios sexistas en espacios de interacción social o esparcimiento",Estudiantes,"Alrededores de la Universidad, Baños, Espacios de interacción social (plazoleta, jardineras, etc)","Conversatorios e iniciativas culturales y artísticas, Cursos y seminarios, Campañas de sensibilización",Ninguna,3,"Bienestar Universitario, Centro de atención en género y diversidad sexual",Ninguno,No,Sí,Efectivos,Flexibles,Flexibles,"Colaborativo, proactivo","Colaborativo, proactivo",Sí,Sí,"Aumental la confianza de los estudiantes en los mecanismos institucionales, Diseño de protocolos y rutas de atención más claras y amigables para los/las estudiantes, Mayor difusión de los protocolos y rutas de atención",
12/9/2024 18:25:17,Sí,Sociología ,1,18,Femenino,Nignuno,Comentarios sexistas en espacios de interacción social o esparcimiento,En los últimos 3 meses,"Acoso Sexual (acoso físico, verbal, visual), Comentarios sexistas en espacios de interacción social o esparcimiento",Compañero sexual o afectivo que también es estudiante,"Alrededores de la Universidad, Prácticas y/o salidas de campo, Espacios de interacción social (plazoleta, jardineras, etc)","Cursos y seminarios, Campañas de sensibilización",Ninguna,2,Centro de atención en género y diversidad sexual,He ido a marchas y difusión de material por internet antes de estar en la u,Sí,No,Parcialmente efectivos,No sabe/No responde,Flexibles,Inoperante,"Colaborativo, proactivo",No sabe/No responde,Sí,"Diseño de protocolos y rutas de atención más claras y amigables para los/las estudiantes, Mayor difusión de los protocolos y rutas de atención",
12/9/2024 18:29:26,Sí,Si,1,44,Masculino,Nignuno,Nignuno,No aplica,,,,"Conversatorios e iniciativas culturales y artísticas, Campañas de sensibilización",Ninguna,5,Decanatura,Ninguno,Sí,Sí,No sabe/No responde,No sabe/No responde,,No sabe/No responde,,No sabe/No responde,,"Mayor inclusión de los/las estudiantes en el diseño de los protocolos y rutas de atención, Diseño de protocolos y rutas de atención más claras y amigables para los/las estudiantes, Mayor difusión de los protocolos y rutas de atención",
12/9/2024 20:06:59,Sí,Historia ,6,28,Femenino,"Comentarios sexistas en espacios de interacción social o esparcimiento, Comentarios sexistas en el ámbito académico (durante clase, asesorías, proyectos de investigación, etc)","Comentarios sexistas en espacios de interacción social o esparcimiento, Comentarios sexistas en el ámbito académico (durante clase, asesorías, proyectos de investigación, etc)",En los últimos 3 meses,"Comentarios sexuales en el ámbito académico (durante clase, asesorías, proyectos de investigación, etc)","Estudiantes, Docentes","Espacios de interacción social (plazoleta, jardineras, etc)",Campañas de sensibilización,Ninguna,3,Fiscalia ,Ninguno,No,No,No efectivos,Conservadoras,Conservadoras,Inoperante,Inoperante,No sabe/No responde,No,"Diseño de protocolos y rutas de atención más claras y amigables para los/las estudiantes, Mayor difusión de los protocolos y rutas de atención, Personal más empático y capacitado para atender a las víctimas",Mejor asesoria jurídica 
12/9/2024 20:15:38,Sí,Antropología ,Sexto ,20,Femenino,Nignuno,"Acoso Sexual (Acoso físico, verbal, visual), Comentarios sexistas en espacios de interacción social o esparcimiento",En los últimos 6 meses,"Acoso Sexual (acoso físico, verbal, visual), Comentarios sexistas en espacios de interacción social o esparcimiento, Comentarios sexuales en el ámbito académico (durante clase, asesorías, proyectos de investigación, etc)","Estudiantes, Docentes","Prácticas y/o salidas de campo, Pasillos, Espacios de interacción social (plazoleta, jardineras, etc)","No género violencia, Campañas de sensibilización",Ninguna,4,"Bienestar Universitario, Unidad de asuntos disciplinarios (UAD), Decanatura",Protestas,No,No,No efectivos,Conservadoras,Flexibles,Inoperante,"Colaborativo, proactivo",No sabe/No responde,Sí,"Mayor inclusión de los/las estudiantes en el diseño de los protocolos y rutas de atención, Aumental la confianza de los estudiantes en los mecanismos institucionales, Personal más empático y capacitado para atender a las víctimas",
12/9/2024 20:37:22,Sí,Historia,10,22,No-Binario,Nignuno,"Acoso Sexual (Acoso físico, verbal, visual), Difusión de contenido sexual no consentido, Comentarios sexistas en espacios de interacción social o esparcimiento, Comentarios sexistas en el ámbito académico (durante clase, asesorías, proyectos de investigación, etc)",No aplica,"Acoso Sexual (acoso físico, verbal, visual)",,,"No género violencia, Cursos y seminarios, Campañas de sensibilización",Ninguna,1,Bienestar Universitario,Ninguno,No,No,No efectivos,Conservadoras,Conservadoras,"Colaborativo, proactivo","Colaborativo, proactivo",No sabe/No responde,,,
12/9/2024 20:39:13,Sí,Sociología ,5,20,Femenino,"Acoso Sexual (Acoso físico, verbal, visual), Difusión de contenido sexual no consentido, Comentarios sexistas en espacios de interacción social o esparcimiento, Comentarios sexistas en el ámbito académico (durante clase, asesorías, proyectos de investigación, etc)","Acoso Sexual (Acoso físico, verbal, visual), Difusión de contenido sexual no consentido, Comentarios sexistas en espacios de interacción social o esparcimiento, Comentarios sexistas en el ámbito académico (durante clase, asesorías, proyectos de investigación, etc)",En los últimos 3 meses,"Acoso Sexual (acoso físico, verbal, visual), Comentarios sexistas en espacios de interacción social o esparcimiento, Comentarios sexuales en el ámbito académico (durante clase, asesorías, proyectos de investigación, etc)","Estudiantes, Docentes","Baños, Espacios de interacción social (plazoleta, jardineras, etc)","No género violencia, Conversatorios e iniciativas culturales y artísticas, Cursos y seminarios, Campañas de sensibilización","Conversatorios e iniciativas culturales y artísticas, Campañas de sensibilización",3,"Bienestar Universitario, Centro de atención en género y diversidad sexual, Líneas de atención telefónica o vía email","Escrache, Divulgación en medios independientes como revistas",No,No,Parcialmente efectivos,Conservadoras,Flexibles,"Colaborativo, proactivo",Innovador,No,No,"Mayor inclusión de los/las estudiantes en el diseño de los protocolos y rutas de atención, Aumental la confianza de los estudiantes en los mecanismos institucionales, Diseño de protocolos y rutas de atención más claras y amigables para los/las estudiantes, Personal más empático y capacitado para atender a las víctimas","Hacer veeduría de las experiencias del cuerpo estudiantil, docente y personal no docente respecto a VBG.
Tener mecanismos y personal suficiente para atender las denuncias y procesos que estas conllevan."
12/9/2024 20:58:24,Sí,Psicología,1,19,Femenino,Nignuno,Nignuno,No aplica,"Acoso Sexual (acoso físico, verbal, visual), Comentarios sexistas en espacios de interacción social o esparcimiento","Estudiantes, Docentes",Pasillos,No género violencia,No género violencia,3,Bienestar Universitario,Ninguno,Sí,Sí,No sabe/No responde,No sabe/No responde,Flexibles,No sabe/No responde,"Colaborativo, proactivo",No sabe/No responde,Sí,Aumental la confianza de los estudiantes en los mecanismos institucionales,
